
Settings

NBA 25-26

Past 1 Week
Ease for Selected Position 
PF
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs PHI	-0.43	-1.01	-1.01	0.11	0.08	-1.74	1.20	-1.23	-0.23
vs NYK	-0.50	-0.86	0.58	-1.32	-1.08	-0.91	-0.60	-0.53	0.24
vs DAL	-0.56	-1.29	-0.79	0.76	-0.40	-0.43	-1.50	-1.93	0.60
vs IND	-0.63	-0.96	-2.20	1.20	-1.10	-1.01	-0.20	-0.60	-0.78
vs PHO	-0.72	-0.88	-0.66	-0.85	-1.23	-0.24	-0.81	-0.45	-1.35

Settings

NBA 25-26

Past 1 Week
Ease for Selected Position 
C
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs CHI	0.83	1.51	0.66	-0.10	1.71	1.67	0.50	1.18	0.38
vs PHO	0.78	1.72	2.00	1.44	0.13	0.46	-0.54	2.19	-0.36
vs LAC	0.57	0.96	1.29	-0.49	0.79	-0.21	-0.77	1.46	0.55
vs CLE	0.52	1.22	1.40	0.30	0.70	0.47	0.51	1.08	-0.97
vs MIN	0.51	0.89	0.99	1.29	-0.22	1.48	-0.46	0.20	0.45
vs UTA	0.49	1.83	1.69	0.04	0.25	-0.65	-0.11	1.77	-0.36
vs SAS	0.45	-0.07	0.67	1.04	0.76	-1.19	0.33	-0.25	0.86
vs MEM	0.40	1.22	1.33	-0.15	0.34	1.03	-0.59	1.06	1.14
vs SAC	0.29	0.41	0.15	-0.02	-0.86	1.31	1.41	-0.15	0.39
vs DEN	0.24	0.54	0.37	-0.17	-0.65	0.20	-0.02	0.26	1.70
vs GSW	0.19	0.77	0.79	0.87	0.46	-0.67	-0.14	0.93	-1.25
vs ORL	0.10	0.14	-0.32	-1.31	-1.08	1.05	1.85	0.11	0.52
vs BOS	0.09	0.18	0.39	-1.02	0.51	-0.96	0.08	0.86	1.35
vs POR	0.01	-0.88	-0.29	-1.02	1.06	0.23	1.07	-0.26	0.23
vs WAS	-0.05	-0.23	-0.48	0.96	1.68	-1.46	1.08	-1.14	-0.87
vs CHA	-0.07	-0.54	0.26	1.95	-1.13	-0.72	-1.69	-0.44	1.69
vs NYK	-0.15	0.52	0.42	-1.35	-1.13	-0.19	0.71	0.42	0.91
vs DAL	-0.16	-0.81	-0.95	1.08	-0.04	-0.48	1.80	-0.97	-1.06
vs BKN	-0.16	-0.82	-0.56	-0.31	0.91	0.64	-0.67	-0.53	-0.11
vs PHI	-0.21	-0.32	-0.20	-0.38	0.14	-0.28	0.39	-0.21	-1.02
vs HOU	-0.23	-1.75	-1.47	-0.21	1.37	1.75	-0.92	-1.87	1.08
vs MIA	-0.23	0.56	-0.04	1.49	0.50	1.34	-1.24	-0.42	-2.51
vs ATL	-0.30	0.32	-0.23	1.47	-1.23	-2.53	-1.71	0.89	0.33
vs OKC	-0.35	-0.89	-1.01	-0.04	0.66	-0.19	-0.21	-0.82	-0.61
vs DET	-0.36	-0.52	-1.26	-1.13	-2.48	-0.20	1.42	-1.32	-1.38
vs LAL	-0.45	-1.21	-0.64	-0.57	-0.92	-0.04	0.03	-0.32	-0.31
vs NOR	-0.50	-1.05	-1.33	-0.74	-0.32	-0.40	0.20	-1.03	0.23
vs TOR	-0.62	-1.51	-1.18	-0.66	-1.62	-0.62	0.51	-0.91	0.47
vs MIL	-0.77	-1.17	-0.65	-2.04	0.13	0.20	-1.80	-0.75	-0.25
