
Settings

NBA 25-26

Past 1 Week
Ease for Selected Position 
SG
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs WAS	0.53	1.45	0.83	-0.24	0.68	2.68	-1.41	0.75	0.21
vs UTA	0.47	0.54	0.76	-0.07	1.80	0.94	-0.68	0.77	0.35
vs CLE	0.30	1.07	1.57	1.53	-0.23	-0.59	-1.43	0.71	0.21
vs OKC	0.29	1.42	2.07	-0.37	-0.79	-0.40	2.33	1.24	-2.74
vs NOR	0.28	0.48	0.45	0.34	0.75	-0.19	0.33	-0.17	0.73
vs LAL	0.23	1.43	0.07	-1.24	0.31	0.13	-1.42	1.43	1.56
vs ATL	0.21	-0.19	-0.39	0.87	1.03	0.43	1.36	0.28	-1.30
vs LAC	0.07	-0.14	-0.86	-0.31	0.25	-0.13	0.59	0.52	0.93
vs MIN	0.05	0.47	0.87	-1.63	-0.76	-0.20	0.07	1.72	0.12
vs ORL	0.05	-0.34	0.45	-0.42	1.31	-0.93	0.09	0.81	-0.33
vs MIL	0.04	0.10	0.35	1.30	0.18	-0.38	-1.37	0.27	0.05
vs MIA	0.02	0.18	0.32	0.92	-0.82	1.31	-0.65	-0.25	-0.64
vs DEN	-0.03	0.04	-0.47	-0.29	-0.15	-0.11	1.01	-0.37	0.22
vs NYK	-0.07	-0.49	-0.64	1.05	0.07	-0.17	-0.57	0.15	0.14
vs SAS	-0.16	-0.32	0.34	-0.29	-0.76	-0.74	0.48	0.50	-0.73
vs BOS	-0.24	-1.31	-0.38	-0.17	-0.61	-0.42	1.11	-1.60	1.38
vs IND	-0.27	-0.62	-1.24	2.33	-1.56	-0.02	-0.21	-1.21	0.34
vs CHI	-0.36	-0.77	-0.61	0.32	-0.74	-0.84	-0.48	-1.36	1.39
vs TOR	-0.38	0.38	0.36	-0.86	-0.21	-0.80	-0.36	-0.42	-1.35
vs GSW	-0.43	-0.75	-1.26	0.83	-0.45	-0.80	0.09	-0.86	-0.53
vs CHA	-0.49	-0.49	-0.51	-1.63	-1.66	-0.79	0.19	-0.71	1.35
vs HOU	-0.56	-1.21	-1.42	-1.17	-0.37	0.57	-1.18	-0.93	0.87
vs DET	-0.69	-1.50	-0.97	-1.65	-2.11	1.54	0.47	-0.10	-1.73
vs PHI	-0.71	-0.89	-1.72	-0.46	1.39	-1.30	-0.13	-2.02	-1.06
vs PHO	-0.72	-1.62	-0.83	0.38	-0.03	-1.54	-1.56	-1.48	0.40
vs SAC	-0.79	-1.76	-1.50	-1.06	-0.31	-1.40	-0.54	-1.16	0.79

Full Season
Ease for Selected Position 
SF
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs NOR	1.07	2.05	2.03	-0.48	1.01	0.40	1.62	2.57	0.68
vs UTA	0.90	1.57	1.03	0.23	2.57	0.69	-0.02	1.40	0.84
vs WAS	0.83	0.53	0.34	0.76	1.78	2.33	0.58	0.27	1.12
vs ATL	0.59	1.45	1.25	1.01	0.94	0.89	0.00	1.04	-1.01
vs POR	0.53	0.78	-0.18	1.99	0.73	1.45	1.17	-0.43	-0.48
vs MEM	0.42	0.21	0.85	0.82	-0.47	0.32	2.26	0.05	0.01
vs MIA	0.32	0.72	1.20	0.55	-0.94	0.71	1.18	0.41	-0.71
vs DEN	0.31	0.35	0.33	-0.92	0.29	-0.26	1.93	0.12	1.16
vs LAL	0.25	2.06	0.85	-0.31	-0.19	-0.51	-0.69	1.11	0.22
vs MIL	0.22	0.18	0.29	1.36	0.09	0.23	-0.68	-0.22	1.00
vs BKN	0.18	0.63	0.10	-0.49	0.90	0.49	-0.46	0.69	0.01
vs CLE	0.16	0.41	0.63	0.71	-0.39	0.07	-0.52	1.27	-0.47
vs CHI	0.00	-0.56	-0.60	0.68	0.01	-0.32	0.67	-0.37	0.75
vs OKC	0.00	-0.53	1.05	0.69	-0.31	-1.35	0.09	-0.56	-2.10
vs IND	0.00	0.31	-0.88	1.67	-1.23	-0.64	-0.24	0.65	0.57
vs CHA	-0.03	0.09	0.01	-1.12	0.09	-0.59	-0.60	0.70	1.42
vs DAL	-0.04	-1.07	-1.00	1.11	0.37	0.84	-0.21	-1.55	1.42
vs NYK	-0.13	0.89	1.71	-1.23	-0.70	-1.15	-0.82	1.07	-0.65
vs LAC	-0.13	-0.62	-0.14	-0.98	-0.77	0.08	0.39	0.44	0.67
vs SAC	-0.21	0.19	-0.56	-0.16	2.02	-1.18	-1.45	-0.10	-0.36
vs BOS	-0.22	-0.71	0.52	0.38	-0.57	-2.20	-1.33	-1.39	0.41
vs HOU	-0.39	-0.85	-0.56	-2.27	-0.96	1.22	0.23	-0.06	1.52
vs SAS	-0.43	-0.72	0.26	-1.52	-0.58	-0.71	-0.69	0.12	0.27
vs MIN	-0.50	-0.93	-0.96	0.23	-0.41	-0.58	-0.44	-1.00	-0.16
vs ORL	-0.51	-1.27	-1.24	-0.46	-1.11	-0.91	0.60	-0.21	0.23
vs GSW	-0.60	-1.64	-1.64	-0.62	-0.03	0.41	-2.04	-1.33	-1.03
vs TOR	-0.62	-1.40	-1.18	-0.58	-0.53	0.58	0.99	-1.38	-1.84
vs PHO	-0.63	-0.74	-0.51	0.32	-0.55	-0.16	-0.95	-1.40	-1.40
vs PHI	-0.66	-1.12	-1.77	-0.29	0.78	-1.52	-0.48	-0.82	-0.49
vs DET	-0.68	-0.26	-1.23	-1.07	-1.86	1.36	-0.13	-1.08	-1.61
